,dateFixed,no_of_cases,delayedDate,meanTemp,averageRainfall,peakDailyRainfall,meanHumidityDaily
0,2014-01-01,414,2014-01-15,26.8,15.080000000000002,31.2,78.5
1,2014-02-01,336,2014-02-15,28.2,0.2,0.2,74.5
2,2014-03-01,193,2014-03-15,28.95,11.0,52.6,76.0
3,2014-04-01,225,2014-04-15,28.95,6.470588235294118,28.8,80.0
4,2014-05-01,282,2014-05-15,28.950000000000003,6.988888888888889,22.4,80.2
5,2014-06-01,456,2014-06-15,29.200000000000003,6.490909090909091,18.8,77.5
6,2014-07-01,671,2014-07-15,28.700000000000003,9.906666666666666,29.0,78.3
7,2014-08-01,633,2014-08-15,27.799999999999997,12.05,44.2,79.7
8,2014-09-01,367,2014-09-15,28.75,9.288888888888888,34.6,75.6
9,2014-10-01,344,2014-10-15,28.9,12.0,32.8,77.0
10,2014-11-01,213,2014-11-15,28.200000000000003,10.904347826086957,64.4,82.4
11,2014-12-01,162,2014-12-15,27.65,14.447058823529412,48.2,82.6
12,2015-01-01,188,2015-01-15,27.65,13.266666666666666,33.6,77.6
13,2015-02-01,212,2015-02-15,27.85,3.1333333333333333,10.8,75.4
14,2015-03-01,189,2015-03-15,29.0,16.880000000000003,46.0,75.8
15,2015-04-01,90,2015-04-15,29.55,5.630769230769231,18.8,77.1
16,2015-05-01,120,2015-05-15,29.3,7.416666666666667,22.2,78.9
17,2015-06-01,151,2015-06-15,29.3,9.58,28.4,75.8
18,2015-07-01,242,2015-07-15,29.299999999999997,8.984615384615385,45.8,74.9
19,2015-08-01,250,2015-08-15,28.6,16.89090909090909,63.2,76.7
20,2015-09-01,246,2015-09-15,29.1,7.7,18.4,75.0
21,2015-10-01,257,2015-10-15,29.150000000000002,9.68888888888889,28.6,75.4
22,2015-11-01,266,2015-11-15,28.8,5.584615384615384,25.8,79.1
23,2015-12-01,259,2015-12-15,28.25,15.894736842105264,40.4,81.1
24,2016-01-01,458,2016-01-15,28.9,8.44,39.6,79.6
25,2016-02-01,528,2016-02-15,28.35,18.6,71.8,78.8
26,2016-03-01,412,2016-03-15,29.85,1.0333333333333334,2.4,74.7
27,2016-04-01,376,2016-04-15,30.049999999999997,6.414285714285714,18.2,75.6
28,2016-05-01,181,2016-05-15,29.75,16.150000000000002,54.8,77.4
29,2016-06-01,219,2016-06-15,28.85,12.523076923076925,67.8,77.7
30,2016-07-01,234,2016-07-15,28.75,8.43,59.4,77.3
31,2016-08-01,211,2016-08-15,29.0,9.28,30.6,74.0
32,2016-09-01,310,2016-09-15,28.55,7.926666666666667,34.0,73.9
33,2016-10-01,138,2016-10-15,28.65,11.3125,75.4,72.0
34,2016-11-01,85,2016-11-15,27.799999999999997,14.51,65.6,77.6
35,2016-12-01,86,2016-12-15,28.15,12.721739130434784,73.0,72.8
36,2017-01-01,70,2017-01-15,27.7,9.40952380952381,60.6,84.8
37,2017-02-01,62,2017-02-15,27.7,10.56,31.0,83.2
38,2017-03-01,41,2017-03-15,28.0,12.381818181818181,30.2,82.5
39,2017-04-01,49,2017-04-15,28.4,9.933333333333334,42.8,83.5
40,2017-05-01,42,2017-05-15,28.65,12.666666666666666,44.8,82.8
41,2017-06-01,66,2017-06-15,28.75,10.6,29.6,80.2
42,2017-07-01,75,2017-07-15,28.5,8.844444444444443,30.2,79.6
43,2017-08-01,60,2017-08-15,28.45,4.677777777777778,29.4,79.9
44,2017-09-01,33,2017-09-15,28.299999999999997,6.5473684210526315,20.2,81.0
45,2017-10-01,51,2017-10-15,28.450000000000003,6.711111111111111,31.2,82.5
46,2017-11-01,62,2017-11-15,27.700000000000003,11.191666666666668,45.2,86.3
47,2017-12-01,37,2017-12-15,27.700000000000003,16.139130434782608,69.8,85.2
48,2018-02-01,45,2018-02-15,28.0,2.96,13.0,77.2
49,2018-03-01,38,2018-03-15,28.9,4.46,15.2,78.4
