dateFixed,epi_week,no_of_cases,weekWithDay,delayedDate
2014-01-01,2013-W52,414,2013-W52-3,2014-01-15
2014-01-02,2013-W52,414,2013-W52-4,2014-01-16
2014-01-03,2013-W52,414,2013-W52-5,2014-01-17
2014-01-04,2013-W52,414,2013-W52-6,2014-01-18
2014-01-05,2014-W01,436,2014-W01-0,2014-01-19
2014-01-06,2014-W01,436,2014-W01-1,2014-01-20
2014-01-07,2014-W01,436,2014-W01-2,2014-01-21
2014-01-08,2014-W01,436,2014-W01-3,2014-01-22
2014-01-09,2014-W01,436,2014-W01-4,2014-01-23
2014-01-10,2014-W01,436,2014-W01-5,2014-01-24
2014-01-11,2014-W01,436,2014-W01-6,2014-01-25
2014-01-12,2014-W02,479,2014-W02-0,2014-01-26
2014-01-13,2014-W02,479,2014-W02-1,2014-01-27
2014-01-14,2014-W02,479,2014-W02-2,2014-01-28
2014-01-15,2014-W02,479,2014-W02-3,2014-01-29
2014-01-16,2014-W02,479,2014-W02-4,2014-01-30
2014-01-17,2014-W02,479,2014-W02-5,2014-01-31
2014-01-18,2014-W02,479,2014-W02-6,2014-02-01
2014-01-19,2014-W03,401,2014-W03-0,2014-02-02
2014-01-20,2014-W03,401,2014-W03-1,2014-02-03
2014-01-21,2014-W03,401,2014-W03-2,2014-02-04
2014-01-22,2014-W03,401,2014-W03-3,2014-02-05
2014-01-23,2014-W03,401,2014-W03-4,2014-02-06
2014-01-24,2014-W03,401,2014-W03-5,2014-02-07
2014-01-25,2014-W03,401,2014-W03-6,2014-02-08
2014-01-26,2014-W04,336,2014-W04-0,2014-02-09
2014-01-27,2014-W04,336,2014-W04-1,2014-02-10
2014-01-28,2014-W04,336,2014-W04-2,2014-02-11
2014-01-29,2014-W04,336,2014-W04-3,2014-02-12
2014-01-30,2014-W04,336,2014-W04-4,2014-02-13
2014-01-31,2014-W04,336,2014-W04-5,2014-02-14
2014-02-01,2014-W04,336,2014-W04-6,2014-02-15
2014-02-02,2014-W05,234,2014-W05-0,2014-02-16
2014-02-03,2014-W05,234,2014-W05-1,2014-02-17
2014-02-04,2014-W05,234,2014-W05-2,2014-02-18
2014-02-05,2014-W05,234,2014-W05-3,2014-02-19
2014-02-06,2014-W05,234,2014-W05-4,2014-02-20
2014-02-07,2014-W05,234,2014-W05-5,2014-02-21
2014-02-08,2014-W05,234,2014-W05-6,2014-02-22
2014-02-09,2014-W06,273,2014-W06-0,2014-02-23
2014-02-10,2014-W06,273,2014-W06-1,2014-02-24
2014-02-11,2014-W06,273,2014-W06-2,2014-02-25
2014-02-12,2014-W06,273,2014-W06-3,2014-02-26
2014-02-13,2014-W06,273,2014-W06-4,2014-02-27
2014-02-14,2014-W06,273,2014-W06-5,2014-02-28
2014-02-15,2014-W06,273,2014-W06-6,2014-03-01
2014-02-16,2014-W07,369,2014-W07-0,2014-03-02
2014-02-17,2014-W07,369,2014-W07-1,2014-03-03
2014-02-18,2014-W07,369,2014-W07-2,2014-03-04
2014-02-19,2014-W07,369,2014-W07-3,2014-03-05
2014-02-20,2014-W07,369,2014-W07-4,2014-03-06
2014-02-21,2014-W07,369,2014-W07-5,2014-03-07
2014-02-22,2014-W07,369,2014-W07-6,2014-03-08
2014-02-23,2014-W08,193,2014-W08-0,2014-03-09
2014-02-24,2014-W08,193,2014-W08-1,2014-03-10
2014-02-25,2014-W08,193,2014-W08-2,2014-03-11
2014-02-26,2014-W08,193,2014-W08-3,2014-03-12
2014-02-27,2014-W08,193,2014-W08-4,2014-03-13
